Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2837,Christoph Zimmermann,DF,Darmstadt 98,de Bundesliga,30.0,19,12,1220,13.6,0,0,0,0,0,0,5,0,0.3,0.1,0.4,7.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
12,Abdel Abqar,DF,Alavés,es La Liga,24.0,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02
2836,David Zima,DF,Torino,it Serie A,22.0,5,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Francesco Acerbi,DF,Inter,it Serie A,35.0,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13
15,Joshua Acheampong,DF,Chelsea,eng Premier League,17.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Marcos Acuña,DF,Sevilla,es La Liga,31.0,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,1.5,1.8,23.0,59.0,42.0,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13
2833,Nathan Zeze,DF,Nantes,fr Ligue 1,18.0,13,11,1022,11.4,0,0,0,0,0,0,1,0,0.3,0.0,0.3,1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
2831,Cedric Zesiger,DF,Wolfsburg,de Bundesliga,25.0,23,18,1634,18.2,0,0,0,0,0,0,5,0,1.3,0.0,1.4,14.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08
2826,Jordan Zemura,DF,Udinese,it Serie A,23.0,27,10,1038,11.5,1,0,1,1,0,0,1,0,0.8,0.4,1.2,23.0,32.0,52.0,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1
2820,Davide Zappacosta,DF,Atalanta,it Serie A,31.0,31,23,1867,20.7,2,1,3,2,0,0,5,0,2.2,1.4,3.7,67.0,78.0,132.0,0.1,0.05,0.14,0.1,0.14,0.11,0.07,0.18,0.11,0.18
